"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Prompt Injection Security","2","0","Telco","0"
"0","","0","Response Quality","2","0","Insurance","0"
"0","","0","Edge Cases & Robustness","5","0","Unknown","0"
"0","","0","Hallucination Detection","2","0","Telco","0"
"0","","0","Hallucination Detection","2","0","Banking","0"
"0","","0","Regression Testing","2","0","Unknown","0"
"0","","0","Hallucination Detection","1","0","Energy","0"
"0","","0","Prompt Injection Security","4","0","Banking","0"
"0","","0","Regression Testing","1","0","Telco","0"
"0","","0","Prompt Injection Security","1","0","Insurance","0"
"0","","0","Response Quality","2","0","Telco","0"
"0","","0","Response Quality","1","0","Banking","0"
"0","","0","Regression Testing","1","0","Banking","0"
"0","","0","Response Quality","1","0","Energy","0"
"0","","0","Hallucination Detection","2","0","Insurance","0"
"0","","0","Regression Testing","1","0","Insurance","0"
